Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,900,N.A.,0,0,4,4.94,,389846
Salivary glands,2,900,N.A.,0,0,0.56,0.7,,55083
Oropharynx,3,900,N.A.,0,0,1.1,1.35,,106400
Nasopharynx,4,900,N.A.,0,0,1.31,1.53,,120434
Hypopharynx,5,900,N.A.,0,0,0.89,1.09,,86257
Oesophagus,6,900,N.A.,0,0,4.97,6.48,,511054
Stomach,7,900,N.A.,0,0,9.18,12.29,,968784
Colorectum,41,900,N.A.,0,0,18.35,24.43,,1926425
Liver and intrahepatic bile ducts,11,900,N.A.,0,0,8.57,10.98,,866136
Gallbladder,12,900,N.A.,0,0,1.15,1.55,,122491
Pancreas,13,900,N.A.,0,0,4.69,6.48,,510992
Larynx,14,900,N.A.,0,0,1.91,2.4,,189191
"Trachea, bronchus and lung",15,900,N.A.,0,0,23.62,31.46,,2480675
Melanoma of skin,16,900,N.A.,0,0,3.22,4.21,,331722
Mesothelioma,18,900,N.A.,0,0,0.28,0.39,,30633
Kaposi sarcoma,19,900,N.A.,0,0,0.41,0.45,,35813
Breast,20,900,N.A.,0,0,46.82,58.71,,2296840
Vulva,21,900,N.A.,0,0,0.83,1.21,,47336
Vagina,22,900,N.A.,0,0,0.36,0.48,,18819
Cervix uteri,23,900,N.A.,0,0,14.12,16.93,,662301
Corpus uteri,24,900,N.A.,0,0,8.37,10.74,,420368
Ovary,25,900,N.A.,0,0,6.65,8.3,,324603
Penis,26,900,N.A.,0,0,0.79,0.95,,37700
Prostate,27,900,N.A.,0,0,29.42,36.95,,1467854
Testis,28,900,N.A.,0,0,1.69,1.81,,72040
Kidney,29,900,N.A.,0,0,4.42,5.51,,434840
Bladder,30,900,N.A.,0,0,5.58,7.79,,614298
" Brain, central nervous system",31,900,N.A.,0,0,3.47,4.08,,321731
Thyroid,32,900,N.A.,0,0,9.12,10.41,,821214
Hodgkin lymphoma,33,900,N.A.,0,0,0.95,1.05,,82469
Non-Hodgkin lymphoma,34,900,N.A.,0,0,5.57,7.02,,553389
Multiple myeloma,35,900,N.A.,0,0,1.79,2.38,,187952
Leukaemia,36,900,N.A.,0,0,5.26,6.18,,487294
Other specified cancers,37,900,N.A.,0,0,7.29,8.93,,704447
Unspecified sites,38,900,N.A.,0,0,4.48,5.76,,454535
,20,900,,1,0,0,0,0,0
,21,900,,1,0,0,0,0,0
,22,900,,1,0,0,0,0,0
,23,900,,1,0,0,0,0,0
,24,900,,1,0,0,0,0,0
,25,900,,1,0,0,0,0,0
,26,900,,2,0,0,0,0,0
,27,900,,2,0,0,0,0,0
,28,900,,2,0,0,0,0,0
